;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de analfabetismo - Brasil;;;
Taxa de analfabetismo segundo Município;;;
Período: 1991;;;
Município;Taxa de analfabetismo;;
Fonte: IBGE - Censos Demográficos;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
421010 MAFRA;6,9;;
421020 MAJOR GERCINO;12,2;;
421030 MAJOR VIEIRA;14,5;;
421040 MARACAJA;14,9;;
421050 MARAVILHA;11,1;;
421055 MAREMA;20;;
421060 MASSARANDUBA;8,7;;
421070 MATOS COSTA;17,3;;
421080 MELEIRO;13,5;;
421090 MODELO;9,2;;
421100 MONDAI;8,1;;
421110 MONTE CASTELO;19,8;;
421120 MORRO DA FUMACA;11,7;;
421130 NAVEGANTES;12,3;;
421140 NOVA ERECHIM;8,2;;
421150 NOVA TRENTO;10,3;;
421160 NOVA VENEZA;8,5;;
421170 ORLEANS;10,1;;
421175 OTACILIO COSTA;13;;
421180 OURO;6,8;;
421190 PALHOCA;11,1;;
421200 PALMA SOLA;13,2;;
421210 PALMITOS;9,1;;
421220 PAPANDUVA;13,3;;
421230 PAULO LOPES;23,6;;
421240 PEDRAS GRANDES;9,3;;
421250 PENHA;10,8;;
421260 PERITIBA;4,6;;
421270 PETROLANDIA;12,4;;
421280 BALNEARIO PICARRAS;11,1;;
421290 PINHALZINHO;9,5;;
421300 PINHEIRO PRETO;3,1;;
421310 PIRATUBA;6,9;;
421320 POMERODE;1,8;;
421330 PONTE ALTA;16,1;;
421340 PONTE SERRADA;14,8;;
421350 PORTO BELO;10,6;;
421360 PORTO UNIAO;6,3;;
421370 POUSO REDONDO;7,6;;
421380 PRAIA GRANDE;19,4;;
421390 PRESIDENTE CASTELLO BRANCO;6,4;;
421400 PRESIDENTE GETULIO;6,3;;
421410 PRESIDENTE NEREU;17,2;;
421420 QUILOMBO;14,5;;
421430 RANCHO QUEIMADO;12;;
421440 RIO DAS ANTAS;9,2;;
421450 RIO DO CAMPO;8,9;;
421460 RIO DO OESTE;8,7;;
421470 RIO DOS CEDROS;4,2;;
421480 RIO DO SUL;6,2;;
421490 RIO FORTUNA;5,8;;
421500 RIO NEGRINHO;6,5;;
421510 RODEIO;4,8;;
421520 ROMELANDIA;12,6;;
421530 SALETE;6,8;;
421540 SALTO VELOSO;12;;
421550 SANTA CECILIA;15,2;;
421560 SANTA ROSA DE LIMA;8,9;;
421565 SANTA ROSA DO SUL;16,2;;
421570 SANTO AMARO DA IMPERATRIZ;9,4;;
421580 SAO BENTO DO SUL;5,5;;
421590 SAO BONIFACIO;7,1;;
421600 SAO CARLOS;7,4;;
421610 SAO DOMINGOS;14,2;;
421620 SAO FRANCISCO DO SUL;7;;
421630 SAO JOAO BATISTA;11,3;;
421640 SAO JOAO DO SUL;14,6;;
421650 SAO JOAQUIM;12,2;;
421660 SAO JOSE;6,7;;
421670 SAO JOSE DO CEDRO;12;;
421680 SAO JOSE DO CERRITO;17,5;;
421690 SAO LOURENCO DO OESTE;12,3;;
421700 SAO LUDGERO;6,8;;
421710 SAO MARTINHO;9,3;;
421720 SAO MIGUEL DO OESTE;10,1;;
421730 SAUDADES;6,5;;
421740 SCHROEDER;3,8;;
421750 SEARA;12,4;;
421755 SERRA ALTA;10,2;;
421760 SIDEROPOLIS;6,9;;
421770 SOMBRIO;12,3;;
421780 TAIO;10,7;;
421790 TANGARA;11,8;;
421800 TIJUCAS;14,5;;
421810 TIMBE DO SUL;14,8;;
421820 TIMBO;3,1;;
421825 TIMBO GRANDE;18,7;;
421830 TRES BARRAS;14,8;;
421840 TREZE DE MAIO;12,1;;
421850 TREZE TILIAS;7,9;;
421860 TROMBUDO CENTRAL;7;;
421870 TUBARAO;7,6;;
421875 TUNAPOLIS;1,9;;
421880 TURVO;12,6;;
421885 UNIAO DO OESTE;15,4;;
421890 URUBICI;12,1;;
421895 URUPEMA;9,9;;
421900 URUSSANGA;7,3;;
421910 VARGEAO;10,2;;
421920 VIDAL RAMOS;13,2;;
421930 VIDEIRA;8,8;;
421935 VITOR MEIRELES;13,5;;
421940 WITMARSUM;9,4;;
421950 XANXERE;13,4;;
421960 XAVANTINA;12,5;;
421970 XAXIM;12,3;;
430005 AGUA SANTA;15,7;;
430010 AGUDO;10,8;;
430020 AJURICABA;9,9;;
430030 ALECRIM;10,5;;
430040 ALEGRETE;11,5;;
430045 ALEGRIA;17,2;;
430050 ALPESTRE;16,6;;
430055 ALTO ALEGRE;11,5;;
430060 ALVORADA;9;;
430063 AMARAL FERRADOR;26,3;;
430066 ANDRE DA ROCHA;16,7;;
430070 ANTA GORDA;11,5;;
430080 ANTONIO PRADO;9,4;;
430090 ARATIBA;8,7;;
430100 ARROIO DO MEIO;4,7;;
430105 ARROIO DO SAL;11,9;;
430110 ARROIO DOS RATOS;15,5;;
430120 ARROIO DO TIGRE;14,3;;
430130 ARROIO GRANDE;13,7;;
430140 ARVOREZINHA;15,4;;
430150 AUGUSTO PESTANA;7,1;;
430155 AUREA;8,1;;
430160 BAGE;11,3;;
430165 BARAO;8,6;;
430170 BARAO DE COTEGIPE;8,7;;
430180 BARRACAO;18,9;;
430190 BARRA DO RIBEIRO;15,6;;
430200 BARROS CASSAL;24,2;;
430210 BENTO GONCALVES;6;;
430220 BOA VISTA DO BURICA;3,9;;
430230 BOM JESUS;13,7;;
430235 BOM PRINCIPIO;1,5;;
430240 BOM RETIRO DO SUL;9,1;;
430245 BOQUEIRAO DO LEAO;17,2;;
430250 BOSSOROCA;14,2;;
430260 BRAGA;22,6;;
430265 BROCHIER;6,7;;
430270 BUTIA;16,7;;
430280 CACAPAVA DO SUL;14,3;;
430290 CACEQUI;13,4;;
430300 CACHOEIRA DO SUL;14,3;;
430310 CACHOEIRINHA;6,9;;
430320 CACIQUE DOBLE;15,9;;
430330 CAIBATE;11,9;;
430340 CAICARA;11,1;;
430350 CAMAQUA;14,5;;
430355 CAMARGO;14;;
430360 CAMBARA DO SUL;13,4;;
430370 CAMPINA DAS MISSOES;3,5;;
430380 CAMPINAS DO SUL;9,7;;
430390 CAMPO BOM;7,9;;
430400 CAMPO NOVO;16,3;;
430410 CAMPOS BORGES;15,8;;
430420 CANDELARIA;17,2;;
430430 CANDIDO GODOI;4,9;;
430440 CANELA;9,6;;
430450 CANGUCU;16,2;;
430460 CANOAS;6,9;;
430463 CAPAO DA CANOA;9,6;;
430466 CAPAO DO LEAO;16,4;;
430468 CAPELA DE SANTANA;15,5;;
430470 CARAZINHO;8,7;;
430480 CARLOS BARBOSA;6,9;;
430490 CASCA;11,2;;
430495 CASEIROS;16,8;;
430500 CATUIPE;10,8;;
430510 CAXIAS DO SUL;5,9;;
430513 CERRO BRANCO;20,9;;
430515 CERRO GRANDE;15,3;;
430517 CERRO GRANDE DO SUL;19,7;;
430520 CERRO LARGO;6,3;;
430530 CHAPADA;4,7;;
430535 CHARQUEADAS;8,8;;
430540 CHIAPETTA;16,9;;
430545 CIDREIRA;11,8;;
430550 CIRIACO;18;;
430560 COLORADO;8,7;;
430570 CONDOR;9,4;;
430580 CONSTANTINA;11,6;;
430590 CORONEL BICACO;18,9;;
430595 COTIPORA;8,8;;
430600 CRISSIUMAL;7;;
430605 CRISTAL;17,9;;
430610 CRUZ ALTA;8,7;;
430620 CRUZEIRO DO SUL;6,2;;
430630 DAVID CANABARRO;12,9;;
430635 DEZESSEIS DE NOVEMBRO;19;;
430640 DOIS IRMAOS;3,2;;
430645 DOIS LAJEADOS;11,4;;
430650 DOM FELICIANO;19,1;;
430660 DOM PEDRITO;11,6;;
430670 DONA FRANCISCA;13,1;;
430673 DOUTOR MAURICIO CARDOSO;10,1;;
430676 ELDORADO DO SUL;10,9;;
430680 ENCANTADO;7,2;;
430690 ENCRUZILHADA DO SUL;19,1;;
430693 ENTRE-IJUIS;10,8;;
430695 ENTRE RIOS DO SUL;16,8;;
430697 EREBANGO;10,1;;
430700 ERECHIM;8,5;;
430705 ERNESTINA;10,7;;
430710 HERVAL;17,4;;
430720 ERVAL GRANDE;17,1;;
430730 ERVAL SECO;15,1;;
430740 ESMERALDA;14,9;;
430750 ESPUMOSO;13,6;;
430755 ESTACAO;6,7;;
430760 ESTANCIA VELHA;6,1;;
430770 ESTEIO;6,5;;
430780 ESTRELA;4,7;;
430783 EUGENIO DE CASTRO;5;;
430786 FAGUNDES VARELA;9,2;;
430790 FARROUPILHA;6,9;;
430800 FAXINAL DO SOTURNO;10,1;;
430805 FAXINALZINHO;17,1;;
430810 FELIZ;2,3;;
430820 FLORES DA CUNHA;6,6;;
430830 FONTOURA XAVIER;25,4;;
430840 FORMIGUEIRO;16,9;;
430845 FORTALEZA DOS VALOS;11,2;;
430850 FREDERICO WESTPHALEN;9,9;;
430860 GARIBALDI;5,4;;
430870 GAURAMA;8,9;;
430880 GENERAL CAMARA;18,5;;
430890 GETULIO VARGAS;7,7;;
430900 GIRUA;11;;
430905 GLORINHA;22,3;;
430910 GRAMADO;8,4;;
430920 GRAVATAI;8,1;;
430925 GUABIJU;11,3;;
430930 GUAIBA;9,1;;
430940 GUAPORE;9,3;;
430950 GUARANI DAS MISSOES;8,9;;
430955 HARMONIA;2;;
430960 HORIZONTINA;7;;
430970 HUMAITA;7;;
430975 IBARAMA;17;;
430980 IBIACA;15,4;;
430990 IBIRAIARAS;10,4;;
430995 IBIRAPUITA;21,2;;
431000 IBIRUBA;7;;
431010 IGREJINHA;7,2;;
431020 IJUI;7,5;;
431030 ILOPOLIS;11,9;;
431033 IMBE;8;;
431036 IMIGRANTE;3,8;;
431040 INDEPENDENCIA;10,2;;
431043 IPE;15,5;;
431046 IPIRANGA DO SUL;6,2;;
431050 IRAI;13,6;;
431055 ITACURUBI;15,2;;
431060 ITAQUI;12,1;;
431070 ITATIBA DO SUL;14,4;;
431075 IVORA;6,8;;
431080 IVOTI;4,3;;
431085 JABOTICABA;18,8;;
431090 JACUTINGA;11,1;;
431100 JAGUARAO;12,5;;
431110 JAGUARI;10,4;;
431112 JAQUIRANA;13,1;;
431115 JOIA;12,9;;
431120 JULIO DE CASTILHOS;12,2;;
431125 LAGOAO;32,3;;
431130 LAGOA VERMELHA;14,1;;
431140 LAJEADO;6,7;;
431150 LAVRAS DO SUL;16,1;;
431160 LIBERATO SALZANO;20,3;;
431170 MACHADINHO;19;;
431180 MARAU;10,8;;
431190 MARCELINO RAMOS;9,7;;
431200 MARIANO MORO;15;;
431210 MATA;16,6;;
431220 MAXIMILIANO DE ALMEIDA;13;;
431230 MIRAGUAI;16,4;;
431235 MONTAURI;10,2;;
431240 MONTENEGRO;8,8;;
431245 MORRO REDONDO;14,9;;
431250 MOSTARDAS;18,6;;
431260 MUCUM;10,9;;
431265 NAO-ME-TOQUE;7,6;;
431270 NONOAI;19,4;;
431275 NOVA ALVORADA;16,6;;
431280 NOVA ARACA;7,5;;
431290 NOVA BASSANO;8,3;;
431300 NOVA BRESCIA;12;;
431303 NOVA ESPERANCA DO SUL;14,3;;
431306 NOVA HARTZ;7,4;;
431310 NOVA PALMA;11,7;;
431320 NOVA PETROPOLIS;4,1;;
431330 NOVA PRATA;5,9;;
431335 NOVA ROMA DO SUL;11,7;;
431340 NOVO HAMBURGO;7;;
431350 OSORIO;11;;
431360 PAIM FILHO;12,3;;
431365 PALMARES DO SUL;15,9;;
431370 PALMEIRA DAS MISSOES;16,9;;
431380 PALMITINHO;16,1;;
431390 PANAMBI;6,2;;
431395 PANTANO GRANDE;18,8;;
431400 PARAI;6,2;;
431402 PARAISO DO SUL;12,5;;
431405 PAROBE;9,7;;
431410 PASSO FUNDO;8,5;;
431415 PAVERAMA;10,6;;
431420 PEDRO OSORIO;21;;
431430 PEJUCARA;8;;
431440 PELOTAS;8,4;;
431445 PINHAL;17,6;;
431450 PINHEIRO MACHADO;17,6;;
431455 PIRAPO;19,3;;
431460 PIRATINI;23,4;;
431470 PLANALTO;16,3;;
431475 POCO DAS ANTAS;2;;
431480 PORTAO;13,1;;
431490 PORTO ALEGRE;4,7;;
431500 PORTO LUCENA;12,7;;
431510 PORTO XAVIER;18,1;;
431513 POUSO NOVO;18,1;;
431515 PROGRESSO;19,3;;
431517 PROTASIO ALVES;14,6;;
431520 PUTINGA;15;;
431530 QUARAI;11,2;;
431535 QUINZE DE NOVEMBRO;5,7;;
431540 REDENTORA;26,8;;
431545 RELVADO;7,1;;
431550 RESTINGA SECA;16,1;;
431560 RIO GRANDE;9,8;;
431570 RIO PARDO;15;;
431575 RIOZINHO;15,2;;
431580 ROCA SALES;7,3;;
431590 RODEIO BONITO;16,9;;
431600 ROLANTE;14,3;;
431610 RONDA ALTA;13,1;;
431620 RONDINHA;8,8;;
431630 ROQUE GONZALES;14,6;;
431640 ROSARIO DO SUL;14,2;;
431643 SALDANHA MARINHO;8,6;;
431645 SALTO DO JACUI;18;;
431650 SALVADOR DO SUL;3,8;;
431660 SANANDUVA;10,2;;
431670 SANTA BARBARA DO SUL;11,3;;
431680 SANTA CRUZ DO SUL;8,4;;
431690 SANTA MARIA;7,6;;
431695 SANTA MARIA DO HERVAL;1,8;;
431700 SANTANA DA BOA VISTA;20,6;;
431710 SANT'ANA DO LIVRAMENTO;8,3;;
431720 SANTA ROSA;6,9;;
431730 SANTA VITORIA DO PALMAR;11,9;;
431740 SANTIAGO;9,2;;
431750 SANTO ANGELO;8,7;;
431760 SANTO ANTONIO DA PATRULHA;18,9;;
431770 SANTO ANTONIO DAS MISSOES;14,9;;
431780 SANTO AUGUSTO;14,8;;
431790 SANTO CRISTO;4,5;;
431800 SAO BORJA;12,6;;
431805 SAO DOMINGOS DO SUL;9,9;;
431810 SAO FRANCISCO DE ASSIS;16,3;;
431820 SAO FRANCISCO DE PAULA;12;;
431830 SAO GABRIEL;16,4;;
431840 SAO JERONIMO;14,9;;
431842 SAO JOAO DA URTIGA;15,2;;
431844 SAO JORGE;11,4;;
431846 SAO JOSE DO HERVAL;26,1;;
431848 SAO JOSE DO HORTENCIO;2,5;;
431850 SAO JOSE DO NORTE;27,1;;
431860 SAO JOSE DO OURO;12,6;;
431870 SAO LEOPOLDO;8,1;;
431880 SAO LOURENCO DO SUL;10;;
431890 SAO LUIZ GONZAGA;13;;
431900 SAO MARCOS;7,6;;
431910 SAO MARTINHO;8,8;;
431915 SAO MIGUEL DAS MISSOES;19,3;;
431920 SAO NICOLAU;22,7;;
431930 SAO PAULO DAS MISSOES;8,4;;
431940 SAO PEDRO DO SUL;10,4;;
431950 SAO SEBASTIAO DO CAI;8,2;;
431960 SAO SEPE;15,3;;
431970 SAO VALENTIM;17,6;;
431975 SAO VENDELINO;3,8;;
431980 SAO VICENTE DO SUL;16,8;;
431990 SAPIRANGA;9;;
432000 SAPUCAIA DO SUL;9;;
432010 SARANDI;11;;
432020 SEBERI;12,9;;
432023 SEDE NOVA;12,1;;
432026 SEGREDO;20;;
432030 SELBACH;3,4;;
432040 SERAFINA CORREA;9,7;;
432050 SERTAO;10,8;;
432060 SEVERIANO DE ALMEIDA;9,7;;
432065 SILVEIRA MARTINS;12,6;;
432070 SOBRADINHO;18,8;;
432080 SOLEDADE;16,8;;
432090 TAPEJARA;11,7;;
432100 TAPERA;8,1;;
432110 TAPES;15,1;;
432120 TAQUARA;10,5;;
432130 TAQUARI;14,8;;
432132 TAQUARUCU DO SUL;13,4;;
432135 TAVARES;22,8;;
432140 TENENTE PORTELA;15,7;;
432143 TERRA DE AREIA;18,3;;
432145 TEUTONIA;3;;
432150 TORRES;13,2;;
432160 TRAMANDAI;11,1;;
432163 TRES ARROIOS;8,9;;
432166 TRES CACHOEIRAS;12,8;;
432170 TRES COROAS;8,8;;
432180 TRES DE MAIO;8,8;;
432185 TRES PALMEIRAS;16,9;;
432190 TRES PASSOS;10;;
432195 TRINDADE DO SUL;20,6;;
432200 TRIUNFO;14,5;;
432210 TUCUNDUVA;9,8;;
432215 TUNAS;29,1;;
432220 TUPANCIRETA;12,6;;
432225 TUPANDI;3;;
432230 TUPARENDI;9,6;;
432240 URUGUAIANA;8,2;;
432250 VACARIA;12,4;;
432255 VANINI;12,4;;
432260 VENANCIO AIRES;8;;
432270 VERA CRUZ;10,6;;
432280 VERANOPOLIS;7,5;;
432290 VIADUTOS;9,6;;
432300 VIAMAO;10,4;;
432310 VICENTE DUTRA;19,6;;
432320 VICTOR GRAEFF;4,5;;
432330 VILA FLORES;5,2;;
432340 VILA MARIA;12,5;;
432350 VISTA ALEGRE;11,1;;
432360 VISTA ALEGRE DO PRATA;10,7;;
432370 VISTA GAUCHA;11,2;;
500020 AGUA CLARA;20,3;;
500060 AMAMBAI;20;;
500070 ANASTACIO;22,1;;
500080 ANAURILANDIA;28,1;;
500085 ANGELICA;23,1;;
500090 ANTONIO JOAO;21,6;;
500100 APARECIDA DO TABOADO;20,6;;
500110 AQUIDAUANA;17,3;;
500124 ARAL MOREIRA;23;;
500150 BANDEIRANTES;18,1;;
500190 BATAGUASSU;24,1;;
500200 BATAYPORA;22,4;;
500210 BELA VISTA;13,7;;
500215 BODOQUENA;25,4;;
500220 BONITO;20,4;;
500230 BRASILANDIA;25,4;;
500240 CAARAPO;23,1;;
500260 CAMAPUA;18,8;;
500270 CAMPO GRANDE;8,3;;
500280 CARACOL;18,2;;
500290 CASSILANDIA;19,1;;
500295 CHAPADAO DO SUL;11,5;;
500310 CORGUINHO;24,2;;
500315 CORONEL SAPUCAIA;27,7;;
500320 CORUMBA;12,1;;
500325 COSTA RICA;19,3;;
500330 COXIM;24,8;;
500345 DEODAPOLIS;28,6;;
500348 DOIS IRMAOS DO BURITI;28,5;;
500350 DOURADINA;23,4;;
500370 DOURADOS;14;;
500375 ELDORADO;27,3;;
500380 FATIMA DO SUL;20,8;;
500400 GLORIA DE DOURADOS;21,6;;
500410 GUIA LOPES DA LAGUNA;23,8;;
500430 IGUATEMI;23,7;;
500440 INOCENCIA;26,4;;
500450 ITAPORA;23,6;;
500460 ITAQUIRAI;31,1;;
500470 IVINHEMA;22,5;;
500490 JARAGUARI;26,2;;
500500 JARDIM;13,4;;
500510 JATEI;34,7;;
500515 JUTI;31,7;;
500520 LADARIO;12,6;;
500540 MARACAJU;15,6;;
500560 MIRANDA;24,3;;
500568 MUNDO NOVO;17,8;;
500570 NAVIRAI;23,5;;
500580 NIOAQUE;26,5;;
500620 NOVA ANDRADINA;18,9;;
500630 PARANAIBA;22;;
500635 PARANHOS;26,5;;
500640 PEDRO GOMES;31,2;;
500660 PONTA PORA;14,7;;
500690 PORTO MURTINHO;23,9;;
500710 RIBAS DO RIO PARDO;19,2;;
500720 RIO BRILHANTE;18,2;;
500730 RIO NEGRO;27,1;;
500740 RIO VERDE DE MATO GROSSO;22,5;;
500750 ROCHEDO;30,3;;
500755 SANTA RITA DO PARDO;28,7;;
500769 SAO GABRIEL DO OESTE;12,3;;
500770 SETE QUEDAS;17,1;;
500780 SELVIRIA;27,3;;
500790 SIDROLANDIA;19,7;;
500793 SONORA;22,6;;
500795 TACURU;30,3;;
500797 TAQUARUSSU;24,7;;
500800 TERENOS;19,3;;
500830 TRES LAGOAS;15,8;;
500840 VICENTINA;26,7;;
510010 ACORIZAL;30,6;;
510020 AGUA BOA;20,1;;
510025 ALTA FLORESTA;20,3;;
510030 ALTO ARAGUAIA;19,3;;
510040 ALTO GARCAS;19,3;;
510050 ALTO PARAGUAI;30,3;;
510060 ALTO TAQUARI;16;;
510080 APIACAS;17,1;;
510100 ARAGUAIANA;29,5;;
510120 ARAGUAINHA;29;;
510125 ARAPUTANGA;21,9;;
510130 ARENAPOLIS;22,3;;
510140 ARIPUANA;23,6;;
510160 BARAO DE MELGACO;43,2;;
510170 BARRA DO BUGRES;29,3;;
510180 BARRA DO GARCAS;14,2;;
510190 BRASNORTE;21,5;;
510250 CACERES;23,8;;
510260 CAMPINAPOLIS;31,5;;
510263 CAMPO NOVO DO PARECIS;8,9;;
510267 CAMPO VERDE;15,2;;
510270 CANARANA;11,6;;
510285 CASTANHEIRA;16,8;;
510300 CHAPADA DOS GUIMARAES;26;;
510305 CLAUDIA;13,7;;
510310 COCALINHO;27,9;;
510320 COLIDER;20,6;;
510330 COMODORO;21,3;;
510340 CUIABA;9,9;;
510345 DENISE;30,6;;
510350 DIAMANTINO;13,1;;
510360 DOM AQUINO;22,9;;
510380 FIGUEIROPOLIS D'OESTE;29,7;;
510390 GENERAL CARNEIRO;26,4;;
510410 GUARANTA DO NORTE;19,8;;
510420 GUIRATINGA;21,7;;
510450 INDIAVAI;18,1;;
510455 ITAUBA;18,5;;
510460 ITIQUIRA;25,5;;
510480 JACIARA;18,8;;
510490 JANGADA;44,4;;
510500 JAURU;33,9;;
510510 JUARA;18,9;;
510515 JUINA;16,7;;
510517 JURUENA;9,8;;
510520 JUSCIMEIRA;27,8;;
510525 LUCAS DO RIO VERDE;5,4;;
510530 LUCIARA;27,2;;
510550 VILA BELA DA SANTISSIMA TRINDADE;24,4;;
510558 MARCELANDIA;21,6;;
510560 MATUPA;13,3;;
510562 MIRASSOL D'OESTE;22,5;;
510590 NOBRES;26,7;;
510600 NORTELANDIA;21,5;;
510610 NOSSA SENHORA DO LIVRAMENTO;46,1;;
510620 NOVA BRASILANDIA;30,9;;
510621 NOVA CANAA DO NORTE;25,2;;
510622 NOVA MUTUM;11,2;;
510623 NOVA OLIMPIA;27,9;;
510625 NOVA XAVANTINA;20,7;;
510627 NOVO HORIZONTE DO NORTE;26,2;;
510628 NOVO SAO JOAQUIM;21,7;;
510629 PARANAITA;18,5;;
510630 PARANATINGA;23;;
510637 PEDRA PRETA;29,7;;
510642 PEIXOTO DE AZEVEDO;27,7;;
510650 POCONE;31,1;;
510670 PONTE BRANCA;28;;
510675 PONTES E LACERDA;25,5;;
510677 PORTO ALEGRE DO NORTE;28,5;;
510680 PORTO DOS GAUCHOS;19,4;;
510682 PORTO ESPERIDIAO;26;;
510700 POXOREO;26;;
510704 PRIMAVERA DO LESTE;10,5;;
510710 SAO JOSE DOS QUATRO MARCOS;22,3;;
510715 RESERVA DO CABACAL;36,4;;
510718 RIBEIRAO CASCALHEIRA;28,1;;
510720 RIO BRANCO;29,6;;
510730 SAO JOSE DO RIO CLARO;21,9;;
510760 RONDONOPOLIS;16,1;;
510770 ROSARIO OESTE;33,7;;
510775 SALTO DO CEU;41,2;;
510777 SANTA TEREZINHA;31,9;;
510780 SANTO ANTONIO DO LEVERGER;32,1;;
510785 SAO FELIX DO ARAGUAIA;32,3;;
510790 SINOP;9,8;;
510792 SORRISO;6,6;;
510795 TANGARA DA SERRA;19,9;;
510800 TAPURAH;11,1;;
510805 TERRA NOVA DO NORTE;16,9;;
510810 TESOURO;25,9;;
510820 TORIXOREU;21,7;;
510840 VARZEA GRANDE;13,5;;
510850 VERA;17;;
510860 VILA RICA;18,2;;
520010 ABADIANIA;23,8;;
520013 ACREUNA;23,3;;
520015 ADELANDIA;23,1;;
520017 AGUA FRIA DE GOIAS;32,3;;
520020 AGUA LIMPA;23,6;;
520030 ALEXANIA;25,8;;
520050 ALOANDIA;20,6;;
520060 ALTO PARAISO DE GOIAS;24,1;;
520080 ALVORADA DO NORTE;33,9;;
520085 AMERICANO DO BRASIL;24,9;;
520090 AMORINOPOLIS;21,2;;
520110 ANAPOLIS;12,7;;
520120 ANHANGUERA;15,8;;
520130 ANICUNS;23,1;;
520140 APARECIDA DE GOIANIA;14,5;;
520150 APORE;16,6;;
520160 ARACU;28,2;;
520170 ARAGARCAS;17,2;;
520180 ARAGOIANIA;24,5;;
520215 ARAGUAPAZ;37;;
520235 ARENOPOLIS;20,9;;
520250 ARUANA;29,6;;
520260 AURILANDIA;23,1;;
520280 AVELINOPOLIS;32,8;;
520310 BALIZA;33,2;;
520320 BARRO ALTO;32,6;;
520330 BELA VISTA DE GOIAS;19,8;;
520340 BOM JARDIM DE GOIAS;20,5;;
520350 BOM JESUS DE GOIAS;23,2;;
520355 BONFINOPOLIS;25,5;;
520360 BRAZABRANTES;19,3;;
520380 BRITANIA;30,5;;
520390 BURITI ALEGRE;19,9;;
520400 CABECEIRAS;26,2;;
520410 CACHOEIRA ALTA;21;;
520420 CACHOEIRA DE GOIAS;25,3;;
520425 CACHOEIRA DOURADA;27,6;;
520430 CACU;17,9;;
520440 CAIAPONIA;24,9;;
520450 CALDAS NOVAS;10,7;;
520460 CAMPESTRE DE GOIAS;26,4;;
520465 CAMPINACU;26,5;;
520470 CAMPINORTE;21;;
520480 CAMPO ALEGRE DE GOIAS;17,8;;
520490 CAMPOS BELOS;30,6;;
520495 CAMPOS VERDES;30,4;;
520500 CARMO DO RIO VERDE;22,5;;
520510 CATALAO;13,9;;
520520 CATURAI;24,7;;
520530 CAVALCANTE;53;;
520540 CERES;14,5;;
520545 CEZARINA;24,2;;
520552 COLINAS DO SUL;29,5;;
520570 CORREGO DO OURO;17,8;;
520580 CORUMBA DE GOIAS;30,3;;
520590 CORUMBAIBA;18,6;;
520620 CRISTALINA;15,8;;
520630 CRISTIANOPOLIS;18,3;;
520640 CRIXAS;25,7;;
520650 CROMINIA;19,6;;
520660 CUMARI;16,2;;
520670 DAMIANOPOLIS;36,2;;
520680 DAMOLANDIA;21,8;;
520690 DAVINOPOLIS;26,7;;
520710 DIORAMA;26,5;;
520725 DOVERLANDIA;24,4;;
520735 EDEALINA;21,7;;
520740 EDEIA;19,5;;
520750 ESTRELA DO NORTE;22,5;;
520753 FAINA;30;;
520760 FAZENDA NOVA;23,1;;
520780 FIRMINOPOLIS;18,9;;
520790 FLORES DE GOIAS;50,6;;
520800 FORMOSA;18,4;;
520810 FORMOSO;19,9;;
520830 DIVINOPOLIS DE GOIAS;34,3;;
520840 GOIANAPOLIS;31,3;;
520850 GOIANDIRA;17,4;;
520860 GOIANESIA;20,4;;
520870 GOIANIA;8;;
520880 GOIANIRA;23,5;;
520890 GOIAS;23,3;;
520910 GOIATUBA;21,6;;
520915 GOUVELANDIA;33,3;;
520920 GUAPO;19,1;;
520940 GUARANI DE GOIAS;44,7;;
520945 GUARINOS;23;;
520960 HEITORAI;19,7;;
520970 HIDROLANDIA;21,2;;
520980 HIDROLINA;21,7;;
520990 IACIARA;35,7;;
520995 INDIARA;23;;
521000 INHUMAS;19,6;;
521010 IPAMERI;18,7;;
521020 IPORA;17,9;;
521030 ISRAELANDIA;21,3;;
521040 ITABERAI;21,9;;
521056 ITAGUARI;21,3;;
521060 ITAGUARU;23,7;;
521080 ITAJA;27,8;;
521090 ITAPACI;21,4;;
521100 ITAPIRAPUA;29,6;;
521120 ITAPURANGA;23,1;;
521130 ITARUMA;24,7;;
521140 ITAUCU;21,1;;
521150 ITUMBIARA;18,2;;
521160 IVOLANDIA;18,9;;
521170 JANDAIA;24,5;;
521180 JARAGUA;23,3;;
521190 JATAI;17,8;;
521200 JAUPACI;32;;
521210 JOVIANIA;19,2;;
521220 JUSSARA;19,3;;
521230 LEOPOLDO DE BULHOES;25,1;;
521250 LUZIANIA;15,1;;
521260 MAIRIPOTABA;19,4;;
521270 MAMBAI;42,6;;
521280 MARA ROSA;29,5;;
521290 MARZAGAO;18,9;;
521295 MATRINCHA;25,8;;
521300 MAURILANDIA;29,4;;
521305 MIMOSO DE GOIAS;41,6;;
521308 MINACU;20,5;;
521310 MINEIROS;17,7;;
521340 MOIPORA;19,3;;
521350 MONTE ALEGRE DE GOIAS;46,7;;
521370 MONTES CLAROS DE GOIAS;23,8;;
521375 MONTIVIDIU;22,8;;
521380 MORRINHOS;15,4;;
521385 MORRO AGUDO DE GOIAS;26,7;;
521390 MOSSAMEDES;23,8;;
521400 MOZARLANDIA;26,4;;
521405 MUNDO NOVO;31,7;;
521410 MUTUNOPOLIS;27,1;;
