;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
316750 SIMAO PEREIRA;1.448;607;152;74;10;3;115;2.409;
316760 SIMONESIA;3.181;220;772;445;4.988;10;6.619;16.235;
316770 SOBRALIA;2.556;9;217;105;1.983;19;1.941;6.830;
316780 SOLEDADE DE MINAS;2.393;12;877;316;834;17;480;4.929;
316790 TABULEIRO;2.169;-;554;1;1.128;4;496;4.352;
316800 TAIOBEIRAS;-;6;21.979;15;17;-;4.577;26.594;
316810 TAPIRA;1.254;140;258;285;31;7;963;2.938;
316820 TAPIRAI;546;4;801;69;194;4;622;2.240;
316830 TAQUARACU DE MINAS;745;26;1.135;175;372;7;907;3.367;
316840 TARUMIRIM;1.888;46;2.317;1.548;5.377;63;6.789;18.028;
316850 TEIXEIRAS;2.761;46;1.008;41;4.654;5;1.474;9.989;
316860 TEOFILO OTONI;71.449;482;31.648;2.009;5.772;94;28.328;139.782;
316870 TIMOTEO;51.679;59;1.897;119;1.539;16;1.747;57.056;
316880 TIRADENTES;6.495;35;2.152;172;512;-;809;10.175;
316890 TIROS;2.571;-;1.856;1.076;15;-;3.058;8.576;
316900 TOCANTINS;6.275;29;1.410;151;3.670;15;1.259;12.809;
316910 TOLEDO;977;29;1.371;88;1.007;6;1.172;4.650;
316920 TOMBOS;5.512;4;821;476;2.021;-;877;9.711;
316930 TRES CORACOES;44.959;203;4.744;577;3.017;17;3.082;56.599;
316935 TRES MARIAS;13.360;2.128;2.768;110;859;36;1.648;20.909;
316940 TRES PONTAS;29.812;10;11.639;200;1.124;-;2.790;45.575;
316950 TUMIRITINGA;-;4;2.753;1.028;57;5;1.524;5.371;
316960 TUPACIGUARA;17.140;900;5.719;111;364;4;2.060;26.298;
316970 TURMALINA;4.906;509;6.900;76;15;2;6.963;19.371;
316980 TURVOLANDIA;592;3;1.868;6;5;-;1.172;3.646;
316990 UBA;49.659;700;2.267;174;10.719;140;2.373;66.032;
317000 UBAI;-;-;5.758;-;-;-;8.125;13.883;
317010 UBERABA;181.072;5.320;20.618;586;308;66;2.069;210.039;
317020 UBERLANDIA;334.529;1.574;24.546;761;403;7;3.578;365.398;
317030 UMBURATIBA;-;65;1.441;46;3;-;1.384;2.939;
317040 UNAI;20.914;180;33.027;64;287;34;14.701;69.207;
317050 URUCANIA;3.989;13;507;19;3.908;-;2.054;10.490;
317060 VARGEM BONITA;623;4;1.333;10;4;-;330;2.304;
317070 VARGINHA;78.477;508;4.491;113;1.044;48;2.666;87.347;
317080 VARZEA DA PALMA;-;30;24.499;69;184;28;4.469;29.279;
317090 VARZELANDIA;-;12;12.588;16;5;5;14.409;27.035;
317100 VAZANTE;10.020;392;4.459;677;-;3;3.043;18.594;
317110 VERISSIMO;1.367;350;1.019;52;-;3;262;3.053;
317120 VESPASIANO;27.518;1.684;20.101;196;854;50;3.511;53.914;
317130 VICOSA;32.626;3.771;3.268;596;9.084;113;1.670;51.128;
317140 VIEIRAS;1.028;175;1;36;1.912;5;601;3.758;
317150 MATHIAS LOBATO;1.613;19;450;47;524;-;995;3.648;
317160 VIRGEM DA LAPA;2.146;240;2.857;359;7;15;8.223;13.847;
317170 VIRGINIA;2.588;6;404;856;2.469;2;2.190;8.515;
317180 VIRGINOPOLIS;2.574;1.634;3.962;38;1.261;19;2.570;12.058;
317190 VIRGOLANDIA;1.276;12;1.955;48;679;-;2.825;6.795;
317200 VISCONDE DO RIO BRANCO;18.308;546;1.939;167;3.646;52;3.635;28.293;
317210 VOLTA GRANDE;2.390;522;674;619;119;-;152;4.476;
317220 WENCESLAU BRAZ;482;28;152;30;1.591;3;201;2.487;
320010 AFONSO CLAUDIO;8.007;774;10.598;5.257;8.569;53;6.607;39.865;
320013 AGUIA BRANCA;10;573;4.749;163;1.615;3;2.690;9.803;
320016 AGUA DOCE DO NORTE;493;162;5.190;242;1.473;18;5.112;12.690;
320020 ALEGRE;11.374;685;1.478;1.425;11.798;18;3.485;30.263;
320030 ALFREDO CHAVES;3.028;2.605;5.428;190;718;-;648;12.617;
320035 ALTO RIO NOVO;1.557;287;992;497;1.453;7;2.695;7.488;
320040 ANCHIETA;68;1.626;10.963;325;69;68;1.673;14.792;
320050 APIACA;3.276;1.466;128;254;1.029;8;828;6.989;
320060 ARACRUZ;26.684;3.225;15.558;859;1.178;24;4.717;52.245;
320070 ATILIO VIVACQUA;1.556;-;1.843;1.485;1.093;-;677;6.654;
320080 BAIXO GUANDU;11.220;233;8.830;1.535;1.840;43;3.179;26.880;
320090 BARRA DE SAO FRANCISCO;10.460;280;10.868;1.241;2.429;19;10.153;35.450;
320100 BOA ESPERANCA;2.456;1.030;7.002;146;169;2;1.598;12.403;
320110 BOM JESUS DO NORTE;5.369;85;69;297;1.714;114;242;7.890;
320120 CACHOEIRO DE ITAPEMIRIM;94.051;6.930;11.515;10.246;13.272;263;6.506;142.783;
320130 CARIACICA;131.579;6.665;79.300;38.006;4.318;311;13.047;273.226;
320140 CASTELO;12.243;7.747;5.992;459;1.696;28;1.285;29.450;
320150 COLATINA;58.598;5.629;23.173;3.083;10.138;77;5.735;106.433;
320160 CONCEICAO DA BARRA;1.506;8.427;5.155;81;151;139;6.706;22.165;
320170 CONCEICAO DO CASTELO;1.458;995;2.130;1.866;2.458;42;1.525;10.474;
320180 DIVINO DE SAO LOURENCO;904;4;358;18;2.235;4;534;4.057;
320190 DOMINGOS MARTINS;5.472;3.076;16.036;3.980;4.456;34;2.425;35.479;
320200 DORES DO RIO PRETO;1.567;30;1.497;267;1.561;20;303;5.245;
320210 ECOPORANGA;5.277;2.000;6.646;859;1.156;99;8.260;24.297;
320220 FUNDAO;1.409;976;3.258;859;2.561;29;1.083;10.175;
320230 GUACUI;12.843;302;1.368;711;5.033;341;1.284;21.882;
320240 GUARAPARI;10.118;20.943;13.218;6.730;3.583;392;5.914;60.898;
320245 IBATIBA;5.794;207;660;902;5.523;11;2.361;15.458;
320250 IBIRACU;5.193;17;1.984;155;1.231;2;806;9.388;
320255 IBITIRAMA;798;77;127;1.673;3.477;8;1.459;7.619;
320260 ICONHA;2.354;1.002;1.471;130;4.680;3;514;10.154;
320270 ITAGUACU;777;4.613;6.416;7;34;321;1.154;13.322;
320280 ITAPEMIRIM;3.224;4.581;23.675;2.745;481;277;9.250;44.233;
320290 ITARANA;987;2.798;5.451;29;59;57;987;10.368;
320300 IUNA;9.364;808;1.443;1.212;14.087;69;5.267;32.250;
320305 JAGUARE;2.131;1.032;11.133;335;234;11;2.093;16.969;
320310 JERONIMO MONTEIRO;3.659;308;501;36;3.676;4;695;8.879;
320313 JOAO NEIVA;6.837;474;2.037;384;2.781;42;909;13.464;
320316 LARANJA DA TERRA;558;31;7.428;301;28;-;2.276;10.622;
320320 LINHARES;34.189;6.246;63.216;3.649;4.718;146;7.047;119.211;
320330 MANTENOPOLIS;5.372;537;748;437;2.358;18;4.452;13.922;
320335 MARILANDIA;1.741;317;3.430;542;2.749;5;183;8.967;
320340 MIMOSO DO SUL;7.596;911;2.991;344;9.180;18;2.919;23.959;
320350 MONTANHA;4.321;29;9.755;694;52;7;3.130;17.988;
320360 MUCURICI;1.573;516;5.800;409;254;19;2.711;11.282;
320370 MUNIZ FREIRE;4.072;514;3.423;859;7.391;44;3.833;20.136;
320380 MUQUI;4.035;8;2.136;927;4.854;40;1.543;13.543;
320390 NOVA VENECIA;12.994;2.846;20.620;1.872;1.628;31;7.339;47.330;
320400 PANCAS;5.326;340;4.622;3.251;1.975;8;5.400;20.922;
320405 PEDRO CANARIO;151;27;14.359;3.497;50;1;2.958;21.043;
320410 PINHEIROS;9.880;378;6.506;359;72;11;3.480;20.686;
320420 PIUMA;4.409;129;2.780;60;1.112;-;859;9.349;
320430 PRESIDENTE KENNEDY;974;307;3.579;836;1.003;-;2.684;9.383;
320435 RIO BANANAL;196;45;9.633;247;4.016;35;1.179;15.351;
320440 RIO NOVO DO SUL;3.207;542;1.964;1.066;2.400;32;776;9.987;
320450 SANTA LEOPOLDINA;48;152;6.604;556;2.214;-;1.467;11.041;
320455 SANTA MARIA DE JETIBA;195;363;9.719;222;8.030;55;4.609;23.193;
320460 SANTA TERESA;3.738;936;13.571;868;9.064;11;1.015;29.203;
320470 SAO GABRIEL DA PALHA;94;1.640;8.969;236;17.751;28;1.342;30.060;
320480 SAO JOSE DO CALCADO;5.393;67;338;83;3.198;-;1.063;10.142;
320490 SAO MATEUS;31.453;3.618;24.608;2.123;2.256;16;9.471;73.545;
320500 SERRA;118.443;14.779;52.809;20.423;1.360;365;12.904;221.083;
320503 VARGEM ALTA;964;3.971;2.832;286;4.298;59;603;13.013;
320506 VENDA NOVA DO IMIGRANTE;3.918;3.947;859;279;2.642;143;200;11.988;
320510 VIANA;14.896;6.553;11.312;5.035;2.429;87;3.349;43.661;
320520 VILA VELHA;183.806;34.797;10.575;16.702;6.363;705;11.275;264.223;
320530 VITORIA;128.596;92.096;6.643;3.595;13.553;1.109;11.742;257.334;
330010 ANGRA DOS REIS;4.163;40.899;12.082;15.599;7.730;268;4.069;84.810;
330020 ARARUAMA;-;31.925;15.046;3.376;1.674;359;6.241;58.621;
330025 ARRAIAL DO CABO;1.586;15.903;1.309;136;185;125;544;19.788;
330030 BARRA DO PIRAI;38.549;14.866;4.729;13.312;4.933;427;1.490;78.306;
330040 BARRA MANSA;120.669;11.585;3.140;21.723;12.642;117;1.753;171.629;
330050 BOM JARDIM;64;1.293;2.776;1.195;14.364;38;752;20.482;
330060 BOM JESUS DO ITABAPOANA;19.625;809;954;2.367;3.472;66;2.340;29.633;
330070 CABO FRIO;-;57.372;17.409;3.555;814;954;4.026;84.130;
330080 CACHOEIRAS DE MACACU;365;10.798;9.466;2.893;13.391;94;3.129;40.136;
330090 CAMBUCI;6.153;810;2.653;2.810;4.236;66;4.218;20.946;
330100 CAMPOS DOS GOYTACAZES;100.350;67.589;157.141;7.366;22.857;411;31.927;387.641;
330110 CANTAGALO;101;806;2.279;926;14.005;19;1.387;19.523;
330120 CARMO;110;591;8.176;656;3.819;22;668;14.042;
330130 CASIMIRO DE ABREU;7.028;17.703;5.914;1.191;528;162;1.114;33.640;
330140 CONCEICAO DE MACABU;6.980;185;1.605;3.484;2.862;252;1.340;16.708;
330150 CORDEIRO;18;267;583;377;18.965;46;481;20.737;
330160 DUAS BARRAS;5;1.618;445;95;7.440;57;183;9.843;
330170 DUQUE DE CAXIAS;203.834;185.846;44.946;196.737;19.601;909;14.553;666.426;
330180 ENGENHEIRO PAULO DE FRONTIN;854;1.232;825;817;7.957;77;149;11.911;
330190 ITABORAI;758;98.590;20.259;33.172;2.877;239;6.075;161.970;
330200 ITAGUAI;2.245;70.457;7.590;25.043;3.811;233;3.263;112.642;
330205 ITALVA;3.935;2.174;1.640;1.803;1.599;28;1.563;12.742;
330210 ITAOCARA;10.046;764;2.680;3.382;3.351;174;2.430;22.827;
330220 ITAPERUNA;50.869;1.955;4.475;9.243;3.673;88;6.983;77.286;
330225 ITATIAIA;10.821;1.344;2.639;655;71;5;425;15.960;
330230 LAJE DO MURIAE;1.083;27;1.087;1.098;2.674;17;1.452;7.438;
330240 MACAE;64.402;9.560;11.137;4.351;5.955;93;4.911;100.409;
330250 MAGE;932;77.565;38.353;47.600;17.858;577;8.210;191.095;
330260 MANGARATIBA;169;12.179;2.338;799;724;73;1.278;17.560;
330270 MARICA;2.192;19.014;11.680;9.512;1.293;153;2.416;46.260;
330280 MENDES;4.556;2.927;1.769;2.443;4.218;244;374;16.531;
330290 MIGUEL PEREIRA;5.746;9.742;1.601;1.153;431;52;636;19.361;
330300 MIRACEMA;17.981;1.660;1.275;1.121;655;27;2.230;24.949;
330310 NATIVIDADE;8.341;861;1.204;1.837;7.123;193;2.155;21.714;
330320 NILOPOLIS;5.021;63.577;2.275;1.213;84.087;564;1.164;157.901;
330330 NITEROI;268.364;93.792;19.988;33.411;8.483;338;7.678;432.054;
330340 NOVA FRIBURGO;893;13.121;12.564;2.659;133.990;227;2.113;165.567;
330350 NOVA IGUACU;61.783;641.585;121.143;421.114;25.195;5.184;19.207;1.295.211;
330360 PARACAMBI;84;27.015;548;4.356;846;12;1.311;34.172;
330370 PARAIBA DO SUL;229;2.596;2.452;1.829;25.251;256;968;33.581;
330380 PARATY;-;13.530;5.049;1.056;493;49;3.460;23.637;
330385 PATY DO ALFERES;167;8.323;5.345;5.368;603;60;957;20.823;
330390 PETROPOLIS;4.731;23.774;9.328;8.771;201.953;1.137;2.906;252.600;
330400 PIRAI;17.331;5.341;4.504;3.071;2.173;180;1.002;33.602;
330410 PORCIUNCULA;73;8.482;1.036;85;3.439;-;1.349;14.464;
330415 QUISSAMA;1.207;97;7.559;88;75;-;1.435;10.461;
330420 RESENDE;75.583;3.039;3.376;4.352;3.590;84;1.604;91.628;
330430 RIO BONITO;155;25.811;3.283;9.743;1.360;212;3.582;44.146;
330440 RIO CLARO;4.029;728;2.289;1.464;3.934;60;1.144;13.648;
330450 RIO DAS FLORES;3.300;1.647;195;209;587;50;327;6.315;
330455 RIO DE JANEIRO;3.737.408;1.223.939;64.307;261.586;84.009;4.844;52.386;5.428.479;
330460 SANTA MARIA MADALENA;9;108;837;1.804;6.396;2;1.655;10.811;
330470 SANTO ANTONIO DE PADUA;20.231;966;2.534;6.496;5.806;65;3.323;39.421;
330480 SAO FIDELIS;16.341;5.109;3.898;1.557;2.696;276;4.608;34.485;
330490 SAO GONCALO;-;506.739;86.065;157.419;9.721;1.824;15.992;777.760;
330500 SAO JOAO DA BARRA;4.583;9.678;32.092;621;963;27;11.175;59.139;
330510 SAO JOAO DE MERITI;290.381;46.093;7.773;66.022;9.944;941;3.790;424.944;
330515 SAO JOSE DO VALE DO RIO PRETO;76;1.232;1.623;613;11.304;272;267;15.387;
330520 SAO PEDRO DA ALDEIA;-;33.540;9.704;3.105;612;94;3.153;50.208;
330530 SAO SEBASTIAO DO ALTO;20;563;511;1.512;3.370;32;2.081;8.089;
330540 SAPUCAIA;102;9.266;886;2.599;1.896;20;565;15.334;
330550 SAQUAREMA;-;18.010;13.910;3.266;189;101;2.242;37.718;
330560 SILVA JARDIM;425;11.062;2.241;1.919;189;93;2.161;18.090;
330570 SUMIDOURO;131;1.299;1.252;3.247;6.041;36;939;12.945;
330580 TERESOPOLIS;-;78.699;20.726;6.663;9.867;1.206;2.922;120.083;
330590 TRAJANO DE MORAES;28;556;276;3.150;5.113;21;1.453;10.597;
330600 TRES RIOS;662;6.954;3.254;11.606;56.903;252;1.195;80.826;
330610 VALENCA;40.020;5.600;1.216;7.072;4.826;151;1.643;60.528;
330620 VASSOURAS;9.566;8.891;2.015;3.775;3.168;126;810;28.351;
330630 VOLTA REDONDA;192.097;6.177;6.660;8.623;4.200;111;1.723;219.591;
350010 ADAMANTINA;22.774;77;8.532;75;4;6;425;31.893;
350020 ADOLFO;2.233;51;942;5;-;-;40;3.271;
350030 AGUAI;18.385;152;4.475;29;71;17;131;23.260;
350040 AGUAS DA PRATA;4.559;623;1.110;188;46;3;87;6.616;
350050 AGUAS DE LINDOIA;9.833;389;1.209;40;111;17;90;11.689;
350055 AGUAS DE SANTA BARBARA;2.130;267;2.668;6;528;-;232;5.831;
350060 AGUAS DE SAO PEDRO;1.487;70;14;39;-;3;1;1.614;
350070 AGUDOS;23.287;1.153;5.484;122;103;7;1.328;31.484;
350080 ALFREDO MARCONDES;2.118;29;929;25;320;-;61;3.482;
350090 ALTAIR;1.667;12;1.414;7;-;-;130;3.230;
350100 ALTINOPOLIS;9.286;141;3.860;78;28;-;141;13.534;
350110 ALTO ALEGRE;1.983;904;1.630;4;5;-;235;4.761;
350120 ALVARES FLORENCE;1.926;41;2.904;98;43;-;37;5.049;
350130 ALVARES MACHADO;7.780;55;9.872;115;14;3;958;18.797;
350140 ALVARO DE CARVALHO;-;54;2.620;10;49;-;363;3.096;
350150 ALVINLANDIA;1.349;352;444;58;-;-;329;2.532;
350160 AMERICANA;142.486;4.099;5.198;251;40;-;712;152.786;
350170 AMERICO BRASILIENSE;16.810;1.630;282;-;9;5;1.303;20.039;
350180 AMERICO DE CAMPOS;3.299;12;2.172;4;-;-;103;5.590;
350190 AMPARO;39.305;2.841;4.172;224;3.343;19;290;50.194;
350200 ANALANDIA;1.436;85;1.122;10;343;-;16;3.012;
350210 ANDRADINA;28.869;1.738;19.154;469;14;-;1.512;51.756;
350220 ANGATUBA;9.287;6.000;2.394;511;425;29;2.289;20.935;
350230 ANHEMBI;1.951;224;846;133;164;-;125;3.443;
350240 ANHUMAS;1.264;33;1.053;382;233;-;259;3.224;
350250 APARECIDA;30.682;191;797;449;91;16;312;32.538;
350260 APARECIDA D'OESTE;2.430;6;2.591;4;3;-;53;5.087;
350270 APIAI;10.178;3.542;10.961;3.544;133;18;6.460;34.836;
350280 ARACATUBA;138.344;2.913;16.216;151;41;19;1.158;158.842;
350290 ARACOIABA DA SERRA;3.500;1.831;7.805;190;21;23;1.018;14.388;
350300 ARAMINA;2.677;13;1.120;4;99;1;146;4.060;
350310 ARANDU;2.713;28;2.481;62;195;8;126;5.613;
350320 ARARAQUARA;149.724;9.686;2.046;49;203;14;3.488;165.210;
350330 ARARAS;77.978;1.148;5.186;182;1.809;19;347;86.669;
350340 AREALVA;3.569;15;2.916;61;83;3;181;6.828;
350350 AREIAS;1.201;134;317;65;945;-;596;3.258;
350360 AREIOPOLIS;7.436;1.023;958;74;4;5;453;9.953;
350370 ARIRANHA;4.868;564;378;-;1;5;22;5.838;
350380 ARTUR NOGUEIRA;19.094;2.833;5.292;126;-;6;342;27.693;
350390 ARUJA;-;9.354;26.276;906;310;156;290;37.292;
350400 ASSIS;68.369;6.254;8.725;270;183;4;1.003;84.808;
350410 ATIBAIA;28.454;39.703;13.256;790;1.152;772;1.269;85.396;
350420 AURIFLAMA;5.187;4;6.599;15;9;10;861;12.685;
350430 AVAI;2.108;756;1.190;14;10;-;506;4.584;
350440 AVANHANDAVA;5.698;30;2.129;11;-;-;97;7.965;
350450 AVARE;51.877;995;5.864;284;55;3;832;59.910;
350460 BADY BASSITT;2.714;1.984;989;4;4;-;16;5.711;
350470 BALBINOS;652;-;505;13;9;-;21;1.200;
350480 BALSAMO;5.315;786;640;6;-;-;22;6.769;
350490 BANANAL;4.322;428;2.070;146;3.258;53;954;11.231;
350500 BARAO DE ANTONINA;1.052;3;1.596;42;7;-;326;3.026;
350510 BARBOSA;3.732;86;1.043;6;-;-;490;5.357;
350520 BARIRI;21.169;1.580;1.225;80;12;-;361;24.427;
350530 BARRA BONITA;28.990;86;863;9;514;-;164;30.626;
350540 BARRA DO TURVO;708;1.359;1.356;297;262;50;2.669;6.701;
350550 BARRETOS;81.396;6.016;6.200;187;40;19;660;94.518;
350560 BARRINHA;18.050;82;422;23;29;3;176;18.785;
350570 BARUERI;78.928;10.760;29.730;3.209;4.831;235;1.889;129.582;
350580 BASTOS;14.641;2.203;2.034;14;-;-;168;19.060;
350590 BATATAIS;38.898;2.163;1.892;252;60;45;235;43.545;
350600 BAURU;225.297;3.147;21.592;1.167;368;70;5.588;257.229;
350610 BEBEDOURO;60.905;2.127;3.684;25;254;17;118;67.130;
350620 BENTO DE ABREU;1.862;2;481;-;-;-;48;2.393;
350630 BERNARDINO DE CAMPOS;7.419;98;2.142;145;10;-;149;9.963;
350640 BILAC;3.151;100;1.915;-;3;-;227;5.396;
350650 BIRIGUI;61.327;84;10.649;8;21;17;2.410;74.516;
350660 BIRITIBA-MIRIM;4.950;2.618;8.985;807;43;22;337;17.762;
350670 BOA ESPERANCA DO SUL;8.282;12;2.524;120;232;-;675;11.845;
350680 BOCAINA;5.826;39;1.153;110;15;-;62;7.205;
350690 BOFETE;-;4;4.701;609;10;3;331;5.658;
350700 BOITUVA;11.021;3.262;8.038;185;39;10;366;22.921;
350710 BOM JESUS DOS PERDOES;5.138;1.024;3.273;110;35;-;207;9.787;
350720 BORA;421;-;256;3;12;-;54;746;
350730 BORACEIA;2.372;3;999;-;-;-;75;3.449;
350740 BORBOREMA;8.508;19;3.004;66;129;-;335;12.061;
350750 BOTUCATU;75.362;5.026;7.579;313;792;59;1.003;90.134;
350760 BRAGANCA PAULISTA;71.328;7.266;26.208;1.575;435;121;1.400;108.333;
350770 BRAUNA;2.402;319;1.393;-;-;2;123;4.239;
350780 BRODOWSKI;12.138;808;722;14;1;-;78;13.761;
350790 BROTAS;10.602;39;3.519;-;-;-;182;14.342;
350800 BURI;6.368;1.834;4.449;84;127;-;1.308;14.170;
350810 BURITAMA;9.473;41;2.501;2;37;-;591;12.645;
350820 BURITIZAL;2.344;14;1.375;-;-;-;2;3.735;
350830 CABRALIA PAULISTA;2.370;450;852;-;-;-;116;3.788;
350840 CABREUVA;5.144;976;9.782;1.634;452;13;690;18.691;
350850 CACAPAVA;51.275;2.771;9.073;388;128;84;1.769;65.488;
350860 CACHOEIRA PAULISTA;17.121;1.609;2.380;1.210;330;20;393;23.063;
350870 CACONDE;8.709;1.672;2.740;539;2.801;44;687;17.192;
350880 CAFELANDIA;7.924;41;6.198;133;92;-;774;15.162;
350890 CAIABU;1.123;-;2.543;-;4;4;171;3.845;
350900 CAIEIRAS;27.523;1.388;8.310;981;187;110;516;39.015;
350910 CAIUA;-;-;2.565;770;-;-;1;3.336;
350920 CAJAMAR;23.892;891;6.060;1.763;160;23;580;33.369;
350930 CAJOBI;8.728;197;1.831;29;143;-;204;11.132;
350940 CAJURU;13.639;1.205;4.103;119;96;4;945;20.111;
350950 CAMPINAS;683.237;34.936;79.562;18.023;12.762;528;10.372;839.420;
350960 CAMPO LIMPO PAULISTA;25.106;5.734;13.004;521;388;92;363;45.208;
350970 CAMPOS DO JORDAO;22.752;4.624;3.603;406;3.424;17;1.126;35.952;
350980 CAMPOS NOVOS PAULISTA;1.635;1.168;986;104;-;-;103;3.996;
350990 CANANEIA;2.790;817;3.621;1.493;75;7;1.277;10.080;
351000 CANDIDO MOTA;11.661;32;13.435;92;10;-;98;25.328;
351010 CANDIDO RODRIGUES;1.540;3;654;28;84;-;19;2.328;
351020 CAPAO BONITO;29.146;3.875;16.916;59;117;18;2.296;52.427;
351030 CAPELA DO ALTO;4.169;400;5.335;-;-;-;789;10.693;
351040 CAPIVARI;26.337;2.398;3.103;534;506;54;1.048;33.980;
351050 CARAGUATATUBA;15.072;15.412;18.019;2.176;474;257;653;52.063;
351060 CARAPICUIBA;84.363;81.506;78.543;21.570;11.920;2.956;1.893;282.751;
351070 CARDOSO;6.735;17;5.068;21;-;-;348;12.189;
351080 CASA BRANCA;17.512;2.158;3.391;263;467;46;313;24.150;
351090 CASSIA DOS COQUEIROS;840;1.555;153;-;2;-;164;2.714;
351100 CASTILHO;8.130;1.069;4.161;202;83;5;917;14.567;
351110 CATANDUVA;80.231;3.991;6.179;573;99;4;1.585;92.662;
351120 CATIGUA;4.720;562;903;4;20;14;36;6.259;
351130 CEDRAL;2.872;64;2.724;17;-;-;6;5.683;
351140 CERQUEIRA CESAR;6.254;3.012;3.170;20;14;7;286;12.763;
351150 CERQUILHO;17.026;1.562;1.389;6;-;-;33;20.016;
351160 CESARIO LANGE;4.076;482;5.016;177;4;4;453;10.212;
351170 CHARQUEADA;6.768;485;2.019;447;591;6;381;10.697;
351190 CLEMENTINA;-;131;4.497;55;113;-;57;4.853;
351200 COLINA;12.197;893;2.151;42;141;5;401;15.830;
351210 COLOMBIA;3.309;326;1.454;118;-;-;66;5.273;
351220 CONCHAL;14.890;107;2.777;274;769;1;386;19.204;
351230 CONCHAS;7.495;296;2.623;789;69;24;517;11.813;
351240 CORDEIROPOLIS;9.350;1.026;2.080;30;522;34;243;13.285;
351250 COROADOS;1.338;159;4.216;-;4;-;98;5.815;
351260 CORONEL MACEDO;1.680;865;2.772;89;11;-;317;5.734;
351270 CORUMBATAI;1.239;200;1.298;317;-;26;61;3.141;
351280 COSMOPOLIS;22.477;6.947;5.555;446;720;5;395;36.545;
351290 COSMORAMA;3.102;16;4.516;9;21;-;143;7.807;
351300 COTIA;38.321;14.798;48.667;2.862;332;389;957;106.326;
351310 CRAVINHOS;20.345;441;1.531;37;51;6;58;22.469;
351320 CRISTAIS PAULISTA;2.360;109;2.989;21;4;1;160;5.644;
351330 CRUZALIA;2.437;580;2.030;125;14;-;41;5.227;
351340 CRUZEIRO;64.561;544;1.794;83;972;25;436;68.415;
351350 CUBATAO;16.929;58.064;515;2.708;8.956;56;2.621;89.849;
351360 CUNHA;6.488;215;5.067;1.457;3.624;3;6.535;23.389;
351370 DESCALVADO;19.704;227;5.402;49;7;3;180;25.572;
351380 DIADEMA;224.062;14.443;18.476;18.900;25.211;426;2.895;304.413;
351390 DIVINOLANDIA;5.281;55;1.127;45;4.736;-;355;11.599;
351400 DOBRADA;5.569;819;257;-;2;-;41;6.688;
351410 DOIS CORREGOS;15.800;1.669;800;289;1;-;176;18.735;
351420 DOLCINOPOLIS;1.222;-;857;9;-;-;3;2.091;
351430 DOURADO;6.242;42;885;354;133;5;28;7.689;
351440 DRACENA;19.773;39;18.962;24;369;20;330;39.517;
351450 DUARTINA;8.479;217;2.560;326;11;9;256;11.858;
351460 DUMONT;4.244;466;128;-;34;2;86;4.960;
351470 ECHAPORA;3.923;506;1.509;4;22;-;340;6.304;
351480 ELDORADO;3.965;1.883;4.225;1.360;356;31;1.244;13.064;
351490 ELIAS FAUSTO;4.301;379;5.887;428;12;3;568;11.578;
351500 EMBU DAS ARTES;67.260;32.986;42.751;7.452;3.310;585;1.227;155.571;
351510 EMBU-GUACU;584;1.052;32.507;514;656;6;667;35.986;
351518 ESPIRITO SANTO DO PINHAL;27.664;313;6.336;56;1.697;63;417;36.546;
351520 ESTRELA D'OESTE;4.472;21;3.425;201;23;-;263;8.405;
351530 ESTRELA DO NORTE;1.146;-;665;201;154;-;596;2.762;
351540 FARTURA;8.634;2.215;2.161;88;23;-;982;14.103;
351550 FERNANDOPOLIS;42.911;1.391;8.897;1.246;12;166;1.310;55.933;
351560 FERNANDO PRESTES;3.173;1.211;273;244;15;3;221;5.140;
351570 FERRAZ DE VASCONCELOS;61.229;8.811;18.803;3.890;1.702;117;607;95.159;
351580 FLORA RICA;738;14;1.584;-;-;-;41;2.377;
351590 FLOREAL;-;2.193;1.335;4;-;-;13;3.545;
351600 FLORIDA PAULISTA;4.565;9;7.065;18;14;-;595;12.266;
351610 FLORINIA;2.168;192;565;7;-;-;57;2.989;
351620 FRANCA;219.565;3.785;6.973;144;58;21;1.104;231.650;
351630 FRANCISCO MORATO;12.822;6.497;52.688;3.029;1.035;80;7.342;83.493;
351640 FRANCO DA ROCHA;42.514;13.020;18.141;2.640;2.675;154;1.384;80.528;
351650 GABRIEL MONTEIRO;1.210;148;1.051;-;-;9;32;2.450;
351660 GALIA;4.575;574;4.385;53;-;4;800;10.391;
351670 GARCA;31.989;2.392;3.402;673;61;5;2.345;40.867;
351680 GASTAO VIDIGAL;2.105;-;961;7;-;-;760;3.833;
351690 GENERAL SALGADO;5.637;157;6.693;94;27;26;219;12.853;
351700 GETULINA;5.644;1.004;2.561;162;-;-;681;10.052;
351710 GLICERIO;1.814;1.220;1.124;16;-;-;43;4.217;
