;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 2010;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
150460 MOCAJUBA;40;8.003;11.977;1.696;223;2.635;2.048;26.622;
150470 MOJU;367;3.450;34.824;7.166;737;16.727;6.125;69.396;
150480 MONTE ALEGRE;290;8.821;29.104;6.866;37;7.520;2.591;55.229;
150490 MUANA;173;651;7.285;7.321;7.276;10.879;548;34.133;
150495 NOVA ESPERANCA DO PIRIA;116;775;7.577;3.834;76;6.504;1.182;20.064;
150497 NOVA IPIXUNA;78;295;9.971;815;22;422;2.964;14.567;
150500 NOVA TIMBOTEUA;82;1.711;6.700;486;9;4.006;625;13.619;
150503 NOVO PROGRESSO;66;275;21.929;185;64;1.907;443;24.869;
150506 NOVO REPARTIMENTO;3.930;5.072;32.166;4.808;651;2.759;12.194;61.580;
150510 OBIDOS;191;674;21.588;19.865;102;4.435;2.104;48.959;
150520 OEIRAS DO PARA;123;928;8.164;6.644;3.155;8.310;1.263;28.587;
150530 ORIXIMINA;3.961;17.503;30.111;4.301;210;4.620;1.794;62.500;
150540 OUREM;54;2.006;7.411;588;16;5.576;579;16.230;
150543 OURILANDIA DO NORTE;362;8.326;12.386;833;411;2.531;2.247;27.096;
150548 PACAJA;20;4.462;19.137;1.355;229;2.282;11.871;39.356;
150549 PALESTINA DO PARA;13;12;4.425;984;10;1.206;759;7.409;
150550 PARAGOMINAS;1.988;10.091;78.499;3.106;369;1.486;1.734;97.273;
150553 PARAUAPEBAS;22.142;47.846;74.874;3.558;655;1.687;2.645;153.407;
150555 PAU D'ARCO;4;62;4.199;160;-;577;994;5.996;
150560 PEIXE-BOI;29;2.617;2.019;1.684;6;1.233;238;7.826;
150563 PICARRA;-;368;8.499;486;13;570;2.658;12.594;
150565 PLACAS;25;287;13.768;5.710;-;2.258;1.372;23.420;
150570 PONTA DE PEDRAS;2.162;3.060;6.498;1.415;3.866;8.294;505;25.800;
150580 PORTEL;154;5.131;20.623;5.916;3.271;4.728;11.892;51.715;
150590 PORTO DE MOZ;505;3.339;13.600;4.812;4.478;4.255;2.437;33.426;
150600 PRAINHA;38;1.265;12.864;6.912;497;5.910;1.620;29.106;
150610 PRIMAVERA;143;3.900;2.862;658;24;2.374;283;10.244;
150611 QUATIPURU;13;4.759;3.850;1.114;83;1.807;748;12.374;
150613 REDENCAO;177;7.168;57.665;2.967;51;3.899;1.744;73.671;
150616 RIO MARIA;62;1.615;13.332;1.272;43;809;492;17.625;
150618 RONDON DO PARA;1.304;263;39.953;755;40;541;3.922;46.778;
150619 RUROPOLIS;124;1.969;32.209;1.331;28;2.146;1.539;39.346;
150620 SALINOPOLIS;673;16.954;13.136;1.365;2.073;1.369;1.307;36.877;
150630 SALVATERRA;49;963;14.884;1.292;-;2.005;862;20.055;
150635 SANTA BARBARA DO PARA;183;1.637;10.875;1.604;9;2.205;583;17.096;
150640 SANTA CRUZ DO ARARI;188;846;2.068;2.830;880;781;532;8.125;
150650 SANTA IZABEL DO PARA;485;5.571;40.027;3.258;149;5.813;1.195;56.498;
150655 SANTA LUZIA DO PARA;136;4.145;7.975;2.842;31;3.384;806;19.319;
150658 SANTA MARIA DAS BARREIRAS;-;2.685;8.886;1.515;10;1.255;2.672;17.023;
150660 SANTA MARIA DO PARA;126;935;16.195;1.317;57;3.753;567;22.950;
150670 SANTANA DO ARAGUAIA;160;8.095;36.535;1.828;82;5.077;3.286;55.063;
150680 SANTAREM;5.239;106.350;132.800;27.548;527;18.002;2.626;293.092;
150690 SANTAREM NOVO;74;2.572;641;433;4;2.363;44;6.131;
150700 SANTO ANTONIO DO TAUA;97;2.565;17.856;1.694;10;3.638;758;26.618;
150710 SAO CAETANO DE ODIVELAS;64;1.062;10.832;1.389;14;2.710;772;16.843;
150715 SAO DOMINGOS DO ARAGUAIA;120;2.148;15.589;599;24;2.256;2.334;23.070;
150720 SAO DOMINGOS DO CAPIM;79;2.057;9.894;3.508;90;9.332;4.798;29.758;
150730 SAO FELIX DO XINGU;278;19.910;45.386;5.327;119;12.670;6.032;89.722;
150740 SAO FRANCISCO DO PARA;50;5.736;6.988;430;-;1.646;151;15.001;
150745 SAO GERALDO DO ARAGUAIA;3.985;1.961;14.869;893;5;663;2.986;25.362;
150746 SAO JOAO DA PONTA;6;1.191;2.409;380;-;1.083;191;5.260;
150747 SAO JOAO DE PIRABAS;52;1.899;12.136;3.551;174;1.584;1.118;20.514;
150750 SAO JOAO DO ARAGUAIA;52;1.930;6.711;2.125;-;897;1.399;13.114;
150760 SAO MIGUEL DO GUAMA;302;3.857;27.839;8.495;95;8.495;2.296;51.379;
150770 SAO SEBASTIAO DA BOA VISTA;117;576;8.737;1.762;3.173;7.782;710;22.857;
150775 SAPUCAIA;104;20;3.965;14;-;828;73;5.004;
150780 SENADOR JOSE PORFIRIO;42;803;8.483;339;75;1.390;1.833;12.965;
150790 SOURE;115;14.683;5.298;327;4;955;1.522;22.904;
150795 TAILANDIA;932;3.326;65.676;4.499;130;2.684;1.394;78.641;
150796 TERRA ALTA;15;53;6.597;2.376;-;1.083;129;10.253;
150797 TERRA SANTA;71;2.019;13.197;634;85;726;153;16.885;
150800 TOME-ACU;480;1.001;38.511;5.608;109;7.278;3.159;56.146;
150803 TRACUATEUA;35;190;18.661;2.480;444;5.374;195;27.379;
150805 TRAIRAO;-;229;12.277;2.718;149;476;879;16.728;
150808 TUCUMA;118;10.646;17.720;1.427;498;1.216;1.926;33.551;
150810 TUCURUI;10.177;4.272;73.214;1.318;2.605;2.616;2.447;96.649;
150812 ULIANOPOLIS;406;3.830;30.559;4.535;12;928;2.863;43.133;
150815 URUARA;51;1.314;34.210;837;133;3.749;3.981;44.275;
150820 VIGIA;340;3.277;28.124;5.019;4.796;4.416;1.841;47.813;
150830 VISEU;114;10.140;19.925;13.299;1.357;9.351;2.337;56.523;
150835 VITORIA DO XINGU;89;3.717;5.758;1.018;21;2.193;460;13.256;
150840 XINGUARA;149;5.609;28.276;1.115;249;3.329;1.467;40.194;
160005 SERRA DO NAVIO;1.536;644;1.912;91;22;35;123;4.363;
160010 AMAPA;419;2.292;3.111;1.326;76;354;443;8.021;
